DexNum,Name,Type1,Type2,Ability1,Ability2,Ability3,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26,move27,move28,move29,move30,move31,move32,move33,move34,move35
11,metapod,bug,---,shed-skin,---,---,50,20,55,25,25,30,"['0', 'harden']","['1', 'harden']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,butterfree,bug,flying,compound-eyes,tinted-lens,---,60,45,50,90,80,70,"['0', 'gust']","['1', 'gust']","['1', 'tackle']","['1', 'string-shot']","['1', 'harden']","['1', 'bug-bite']","['4', 'supersonic']","['8', 'confusion']","['12', 'poison-powder']","['12', 'stun-spore']","['12', 'sleep-powder']","['16', 'psybeam']","['20', 'whirlwind']","['24', 'air-slash']","['28', 'safeguard']","['32', 'bug-buzz']","['36', 'tailwind']","['40', 'rage-powder']","['44', 'quiver-dance']",,,,,,,,,,,,,,,,
13,weedle,bug,poison,shield-dust,run-away,---,40,35,30,20,20,50,"['1', 'poison-sting']","['1', 'string-shot']","['9', 'bug-bite']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,kakuna,bug,poison,shed-skin,---,---,45,25,50,25,25,35,"['0', 'harden']","['1', 'harden']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,beedrill,bug,poison,swarm,sniper,---,65,90,40,45,80,75,"['0', 'twineedle']","['1', 'fury-attack']","['1', 'twineedle']","['11', 'fury-attack']","['14', 'rage']","['17', 'pursuit']","['20', 'focus-energy']","['23', 'venoshock']","['26', 'assurance']","['29', 'toxic-spikes']","['32', 'pin-missile']","['35', 'poison-jab']","['38', 'agility']","['41', 'endeavor']","['44', 'fell-stinger']",,,,,,,,,,,,,,,,,,,,
16,pidgey,normal,flying,keen-eye,tangled-feet,big-pecks,40,45,40,35,35,56,"['1', 'tackle']","['5', 'sand-attack']","['9', 'gust']","['13', 'quick-attack']","['17', 'whirlwind']","['21', 'twister']","['25', 'feather-dance']","['29', 'agility']","['33', 'wing-attack']","['37', 'roost']","['41', 'tailwind']","['45', 'mirror-move']","['49', 'air-slash']","['53', 'hurricane']",,,,,,,,,,,,,,,,,,,,,
17,pidgeotto,normal,flying,keen-eye,tangled-feet,big-pecks,63,60,55,50,50,71,"['1', 'gust']","['1', 'sand-attack']","['1', 'tackle']","['5', 'sand-attack']","['9', 'gust']","['13', 'quick-attack']","['17', 'whirlwind']","['22', 'twister']","['27', 'feather-dance']","['32', 'agility']","['37', 'wing-attack']","['42', 'roost']","['47', 'tailwind']","['52', 'mirror-move']","['57', 'air-slash']","['62', 'hurricane']",,,,,,,,,,,,,,,,,,,
18,pidgeot,normal,flying,keen-eye,tangled-feet,big-pecks,83,80,75,70,70,101,"['1', 'gust']","['1', 'sand-attack']","['1', 'tackle']","['1', 'quick-attack']","['1', 'hurricane']","['5', 'sand-attack']","['9', 'gust']","['13', 'quick-attack']","['17', 'whirlwind']","['22', 'twister']","['27', 'feather-dance']","['32', 'agility']","['38', 'wing-attack']","['44', 'roost']","['50', 'tailwind']","['56', 'mirror-move']","['62', 'air-slash']","['68', 'hurricane']",,,,,,,,,,,,,,,,,
19,rattata,normal,---,run-away,guts,hustle,30,56,35,25,35,72,"['1', 'tackle']","['1', 'tail-whip']","['4', 'quick-attack']","['7', 'focus-energy']","['10', 'bite']","['13', 'pursuit']","['16', 'hyper-fang']","['19', 'assurance']","['22', 'crunch']","['25', 'sucker-punch']","['28', 'super-fang']","['31', 'double-edge']","['34', 'endeavor']",,,,,,,,,,,,,,,,,,,,,,
20,raticate,normal,---,run-away,guts,hustle,55,81,60,50,70,97,"['0', 'scary-face']","['1', 'swords-dance']","['1', 'tackle']","['1', 'tail-whip']","['1', 'quick-attack']","['1', 'focus-energy']","['1', 'scary-face']","['4', 'quick-attack']","['7', 'focus-energy']","['10', 'bite']","['13', 'pursuit']","['16', 'hyper-fang']","['19', 'assurance']","['24', 'crunch']","['29', 'sucker-punch']","['34', 'super-fang']","['39', 'double-edge']","['44', 'endeavor']",,,,,,,,,,,,,,,,,
21,spearow,normal,flying,keen-eye,sniper,---,40,60,30,31,31,70,"['1', 'growl']","['1', 'peck']","['4', 'leer']","['8', 'pursuit']","['11', 'fury-attack']","['15', 'aerial-ace']","['18', 'mirror-move']","['22', 'assurance']","['25', 'agility']","['29', 'focus-energy']","['32', 'roost']","['36', 'drill-peck']",,,,,,,,,,,,,,,,,,,,,,,
22,fearow,normal,flying,keen-eye,sniper,---,65,90,65,61,61,100,"['1', 'leer']","['1', 'growl']","['1', 'peck']","['1', 'pursuit']","['1', 'pluck']","['1', 'drill-run']","['4', 'leer']","['8', 'pursuit']","['11', 'fury-attack']","['15', 'aerial-ace']","['18', 'mirror-move']","['23', 'assurance']","['27', 'agility']","['32', 'focus-energy']","['36', 'roost']","['41', 'drill-peck']","['45', 'drill-run']",,,,,,,,,,,,,,,,,,
23,ekans,poison,---,intimidate,shed-skin,unnerve,35,60,44,40,54,55,"['1', 'wrap']","['1', 'leer']","['1', 'wrap']","['1', 'leer']","['4', 'poison-sting']","['4', 'poison-sting']","['9', 'bite']","['9', 'bite']","['12', 'glare']","['12', 'glare']","['17', 'screech']","['17', 'screech']","['20', 'acid']","['20', 'acid']","['25', 'stockpile']","['25', 'spit-up']","['25', 'swallow']","['25', 'stockpile']","['25', 'spit-up']","['25', 'swallow']","['28', 'acid-spray']","['28', 'acid-spray']","['33', 'sludge-bomb']","['33', 'mud-bomb']","['36', 'gastro-acid']","['36', 'gastro-acid']","['38', 'belch']","['38', 'belch']","['41', 'haze']","['41', 'haze']","['44', 'coil']","['44', 'coil']","['49', 'gunk-shot']","['49', 'gunk-shot']",
24,arbok,poison,---,intimidate,shed-skin,unnerve,60,95,69,65,79,80,"['0', 'crunch']","['0', 'crunch']","['1', 'wrap']","['1', 'poison-sting']","['1', 'leer']","['1', 'bite']","['1', 'thunder-fang']","['1', 'ice-fang']","['1', 'fire-fang']","['1', 'wrap']","['1', 'poison-sting']","['1', 'leer']","['1', 'bite']","['1', 'crunch']","['1', 'thunder-fang']","['1', 'ice-fang']","['1', 'fire-fang']","['4', 'poison-sting']","['9', 'bite']","['12', 'glare']","['12', 'glare']","['17', 'screech']","['17', 'screech']","['20', 'acid']","['20', 'acid']","['27', 'stockpile']","['27', 'spit-up']","['27', 'swallow']","['27', 'stockpile']","['27', 'spit-up']","['27', 'swallow']","['32', 'acid-spray']","['32', 'acid-spray']","['39', 'sludge-bomb']","['39', 'mud-bomb']"
25,pikachu,electric,---,static,lightning-rod,---,35,55,40,50,50,90,"['1', 'tail-whip']","['1', 'growl']","['1', 'thunder-shock']","['1', 'quick-attack']","['1', 'sweet-kiss']","['1', 'charm']","['1', 'nasty-plot']","['1', 'play-nice']","['1', 'nuzzle']","['4', 'thunder-wave']","['8', 'double-team']","['12', 'electro-ball']","['16', 'feint']","['20', 'spark']","['24', 'agility']","['28', 'iron-tail']","['32', 'discharge']","['36', 'thunderbolt']","['40', 'light-screen']","['44', 'thunder']",,,,,,,,,,,,,,,
26,raichu,electric,---,static,lightning-rod,---,60,90,55,90,80,110,"['0', 'thunder-punch']","['1', 'tail-whip']","['1', 'growl']","['1', 'thunder-shock']","['1', 'thunder-wave']","['1', 'thunder']","['1', 'agility']","['1', 'quick-attack']","['1', 'double-team']","['1', 'light-screen']","['1', 'sweet-kiss']","['1', 'charm']","['1', 'spark']","['1', 'iron-tail']","['1', 'feint']","['1', 'nasty-plot']","['1', 'discharge']","['1', 'electro-ball']","['1', 'play-nice']","['1', 'nuzzle']","['5', 'thunderbolt']",,,,,,,,,,,,,,
27,sandshrew,ground,---,sand-veil,sand-rush,---,50,75,85,20,30,40,"['1', 'scratch']","['1', 'defense-curl']","['3', 'poison-sting']","['6', 'sand-attack']","['9', 'rollout']","['12', 'fury-cutter']","['15', 'rapid-spin']","['18', 'bulldoze']","['21', 'swift']","['24', 'fury-swipes']","['27', 'agility']","['30', 'slash']","['33', 'dig']","['36', 'gyro-ball']","['39', 'swords-dance']","['42', 'sandstorm']","['45', 'earthquake']",,,,,,,,,,,,,,,,,,
28,sandslash,ground,---,sand-veil,sand-rush,---,75,100,110,45,55,65,"['1', 'scratch']","['1', 'sand-attack']","['1', 'poison-sting']","['1', 'defense-curl']","['1', 'crush-claw']","['9', 'rollout']","['12', 'fury-cutter']","['15', 'rapid-spin']","['18', 'bulldoze']","['21', 'swift']","['26', 'fury-swipes']","['31', 'sand-tomb']","['36', 'slash']","['41', 'dig']","['46', 'gyro-ball']","['51', 'swords-dance']","['56', 'sandstorm']","['61', 'earthquake']",,,,,,,,,,,,,,,,,
29,nidoran-f,poison,---,poison-point,rivalry,hustle,55,47,52,40,40,41,"['1', 'poison-sting']","['1', 'growl']","['5', 'scratch']","['10', 'tail-whip']","['15', 'fury-swipes']","['20', 'toxic-spikes']","['25', 'double-kick']","['30', 'bite']","['35', 'helping-hand']","['40', 'toxic']","['45', 'flatter']","['50', 'crunch']","['55', 'earth-power']",,,,,,,,,,,,,,,,,,,,,,
30,nidorina,poison,---,poison-point,rivalry,hustle,70,62,67,55,55,56,"['1', 'scratch']","['1', 'tail-whip']","['1', 'poison-sting']","['1', 'growl']","['15', 'fury-swipes']","['22', 'toxic-spikes']","['29', 'double-kick']","['36', 'bite']","['43', 'helping-hand']","['50', 'toxic']","['57', 'flatter']","['64', 'crunch']","['71', 'earth-power']",,,,,,,,,,,,,,,,,,,,,,
31,nidoqueen,poison,ground,poison-point,rivalry,sheer-force,90,92,87,75,85,76,"['0', 'superpower']","['1', 'scratch']","['1', 'double-kick']","['1', 'tail-whip']","['1', 'poison-sting']","['1', 'bite']","['1', 'growl']","['1', 'toxic']","['1', 'fury-swipes']","['1', 'crunch']","['1', 'flatter']","['1', 'helping-hand']","['1', 'superpower']","['1', 'toxic-spikes']","['1', 'earth-power']",,,,,,,,,,,,,,,,,,,,
32,nidoran-m,poison,---,poison-point,rivalry,hustle,46,57,40,40,40,50,"['1', 'poison-sting']","['1', 'leer']","['5', 'peck']","['10', 'focus-energy']","['15', 'fury-attack']","['20', 'toxic-spikes']","['25', 'double-kick']","['30', 'horn-attack']","['35', 'helping-hand']","['40', 'toxic']","['45', 'flatter']","['50', 'poison-jab']","['55', 'earth-power']",,,,,,,,,,,,,,,,,,,,,,
33,nidorino,poison,---,poison-point,rivalry,hustle,61,72,57,55,55,65,"['1', 'poison-sting']","['1', 'leer']","['1', 'peck']","['1', 'focus-energy']","['15', 'fury-attack']","['22', 'toxic-spikes']","['29', 'double-kick']","['36', 'horn-attack']","['43', 'helping-hand']","['50', 'toxic']","['57', 'flatter']","['64', 'poison-jab']","['71', 'earth-power']",,,,,,,,,,,,,,,,,,,,,,
34,nidoking,poison,ground,poison-point,rivalry,sheer-force,81,102,77,85,75,85,"['0', 'megahorn']","['1', 'double-kick']","['1', 'horn-attack']","['1', 'fury-attack']","['1', 'poison-sting']","['1', 'leer']","['1', 'peck']","['1', 'toxic']","['1', 'focus-energy']","['1', 'megahorn']","['1', 'flatter']","['1', 'helping-hand']","['1', 'toxic-spikes']","['1', 'poison-jab']","['1', 'earth-power']",,,,,,,,,,,,,,,,,,,,
35,clefairy,fairy,---,cute-charm,magic-guard,friend-guard,70,45,48,60,65,35,"['1', 'pound']","['1', 'growl']","['1', 'sing']","['1', 'defense-curl']","['1', 'splash']","['1', 'sweet-kiss']","['1', 'charm']","['1', 'copycat']","['1', 'disarming-voice']","['4', 'stored-power']","['8', 'encore']","['12', 'after-you']","['16', 'life-dew']","['20', 'metronome']","['24', 'moonlight']","['28', 'gravity']","['32', 'meteor-mash']","['36', 'follow-me']","['40', 'cosmic-power']","['44', 'moonblast']","['48', 'healing-wish']",,,,,,,,,,,,,,
36,clefable,fairy,---,cute-charm,magic-guard,unaware,95,70,73,95,90,60,"['1', 'metronome']","['1', 'meteor-mash']","['1', 'moonblast']","['1', 'life-dew']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,vulpix,fire,---,flash-fire,drought,---,38,41,40,50,65,65,"['1', 'tail-whip']","['1', 'ember']","['4', 'disable']","['8', 'quick-attack']","['12', 'spite']","['16', 'incinerate']","['20', 'confuse-ray']","['24', 'will-o-wisp']","['28', 'extrasensory']","['32', 'flamethrower']","['36', 'imprison']","['40', 'fire-spin']","['44', 'safeguard']","['48', 'inferno']","['52', 'fire-blast']",,,,,,,,,,,,,,,,,,,,
38,ninetales,fire,---,flash-fire,drought,---,73,76,75,81,100,100,"['1', 'tail-whip']","['1', 'flamethrower']","['1', 'quick-attack']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,jigglypuff,normal,fairy,cute-charm,competitive,friend-guard,115,45,20,45,25,20,"['1', 'pound']","['1', 'sing']","['1', 'disable']","['1', 'defense-curl']","['1', 'sweet-kiss']","['1', 'charm']","['1', 'copycat']","['1', 'disarming-voice']","['4', 'echoed-voice']","['8', 'covet']","['12', 'stockpile']","['12', 'spit-up']","['12', 'swallow']","['16', 'round']","['20', 'rest']","['24', 'body-slam']","['28', 'mimic']","['32', 'gyro-ball']","['36', 'hyper-voice']","['44', 'double-edge']",,,,,,,,,,,,,,,
40,wigglytuff,normal,fairy,cute-charm,competitive,frisk,140,70,45,85,50,45,"['1', 'pound']","['1', 'body-slam']","['1', 'double-edge']","['1', 'sing']","['1', 'disable']","['1', 'mimic']","['1', 'defense-curl']","['1', 'rest']","['1', 'sweet-kiss']","['1', 'charm']","['1', 'stockpile']","['1', 'spit-up']","['1', 'swallow']","['1', 'hyper-voice']","['1', 'covet']","['1', 'gyro-ball']","['1', 'copycat']","['1', 'round']","['1', 'echoed-voice']","['1', 'disarming-voice']","['5', 'play-rough']",,,,,,,,,,,,,,
41,zubat,poison,flying,inner-focus,infiltrator,---,40,45,35,30,40,55,"['1', 'supersonic']","['1', 'absorb']","['5', 'astonish']","['10', 'mean-look']","['15', 'poison-fang']","['20', 'quick-guard']","['25', 'air-cutter']","['30', 'bite']","['35', 'haze']","['40', 'venoshock']","['45', 'confuse-ray']","['50', 'air-slash']","['55', 'leech-life']",,,,,,,,,,,,,,,,,,,,,,
42,golbat,poison,flying,inner-focus,infiltrator,---,75,80,70,65,75,90,"['1', 'supersonic']","['1', 'absorb']","['1', 'screech']","['1', 'mean-look']","['1', 'astonish']","['15', 'poison-fang']","['20', 'quick-guard']","['27', 'air-cutter']","['34', 'bite']","['41', 'haze']","['48', 'venoshock']","['55', 'confuse-ray']","['62', 'air-slash']","['69', 'leech-life']",,,,,,,,,,,,,,,,,,,,,
43,oddish,grass,poison,chlorophyll,run-away,---,45,50,55,75,65,30,"['1', 'absorb']","['1', 'growth']","['4', 'acid']","['8', 'sweet-scent']","['12', 'mega-drain']","['14', 'poison-powder']","['16', 'stun-spore']","['18', 'sleep-powder']","['20', 'giga-drain']","['24', 'toxic']","['28', 'moonblast']","['32', 'grassy-terrain']","['36', 'moonlight']","['40', 'petal-dance']",,,,,,,,,,,,,,,,,,,,,
44,gloom,grass,poison,chlorophyll,stench,---,60,65,70,85,75,40,"['1', 'acid']","['1', 'absorb']","['1', 'growth']","['1', 'sweet-scent']","['12', 'mega-drain']","['14', 'poison-powder']","['16', 'stun-spore']","['18', 'sleep-powder']","['20', 'giga-drain']","['26', 'toxic']","['32', 'moonblast']","['38', 'grassy-terrain']","['44', 'moonlight']","['50', 'petal-dance']",,,,,,,,,,,,,,,,,,,,,
45,vileplume,grass,poison,chlorophyll,effect-spore,---,75,80,85,110,90,50,"['0', 'petal-blizzard']","['1', 'acid']","['1', 'absorb']","['1', 'mega-drain']","['1', 'growth']","['1', 'poison-powder']","['1', 'stun-spore']","['1', 'sleep-powder']","['1', 'petal-dance']","['1', 'toxic']","['1', 'giga-drain']","['1', 'sweet-scent']","['1', 'moonlight']","['1', 'grassy-terrain']","['1', 'moonblast']",,,,,,,,,,,,,,,,,,,,
46,paras,bug,grass,effect-spore,dry-skin,damp,35,70,55,45,55,25,"['1', 'scratch']","['6', 'poison-powder']","['6', 'stun-spore']","['11', 'absorb']","['17', 'fury-cutter']","['22', 'spore']","['27', 'slash']","['33', 'growth']","['38', 'giga-drain']","['43', 'aromatherapy']","['49', 'rage-powder']","['54', 'x-scissor']",,,,,,,,,,,,,,,,,,,,,,,
47,parasect,bug,grass,effect-spore,dry-skin,damp,60,95,80,60,80,30,"['1', 'scratch']","['1', 'absorb']","['1', 'poison-powder']","['1', 'stun-spore']","['1', 'cross-poison']","['6', 'poison-powder']","['6', 'stun-spore']","['11', 'absorb']","['17', 'fury-cutter']","['22', 'spore']","['29', 'slash']","['37', 'growth']","['44', 'giga-drain']","['51', 'aromatherapy']","['59', 'rage-powder']","['66', 'x-scissor']",,,,,,,,,,,,,,,,,,,
48,venonat,bug,poison,compound-eyes,tinted-lens,run-away,60,55,50,40,55,45,"['1', 'tackle']","['1', 'disable']","['1', 'tackle']","['1', 'disable']","['1', 'foresight']","['5', 'supersonic']","['5', 'supersonic']","['11', 'confusion']","['11', 'confusion']","['13', 'poison-powder']","['13', 'poison-powder']","['17', 'psybeam']","['17', 'psybeam']","['23', 'stun-spore']","['23', 'stun-spore']","['25', 'bug-buzz']","['25', 'signal-beam']","['29', 'sleep-powder']","['29', 'sleep-powder']","['35', 'leech-life']","['35', 'leech-life']","['37', 'zen-headbutt']","['37', 'zen-headbutt']","['41', 'poison-fang']","['41', 'poison-fang']","['47', 'psychic']","['47', 'psychic']",,,,,,,,
49,venomoth,bug,poison,shield-dust,tinted-lens,wonder-skin,70,65,60,90,75,90,"['0', 'air-slash']","['0', 'gust']","['1', 'tackle']","['1', 'supersonic']","['1', 'disable']","['1', 'quiver-dance']","['1', 'gust']","['1', 'tackle']","['1', 'supersonic']","['1', 'disable']","['1', 'foresight']","['1', 'silver-wind']","['1', 'bug-buzz']","['1', 'quiver-dance']","['5', 'supersonic']","['11', 'confusion']","['11', 'confusion']","['13', 'poison-powder']","['13', 'poison-powder']","['17', 'psybeam']","['17', 'psybeam']","['23', 'stun-spore']","['23', 'stun-spore']","['25', 'bug-buzz']","['25', 'signal-beam']","['29', 'sleep-powder']","['29', 'sleep-powder']","['37', 'leech-life']","['37', 'leech-life']","['41', 'zen-headbutt']","['41', 'zen-headbutt']","['47', 'poison-fang']","['47', 'poison-fang']","['55', 'psychic']","['55', 'psychic']"
50,diglett,ground,---,sand-veil,arena-trap,sand-force,10,55,25,35,45,95,"['1', 'scratch']","['1', 'sand-attack']","['4', 'growl']","['8', 'astonish']","['12', 'mud-slap']","['16', 'bulldoze']","['20', 'sucker-punch']","['24', 'slash']","['28', 'sandstorm']","['32', 'dig']","['36', 'earth-power']","['40', 'earthquake']","['44', 'fissure']",,,,,,,,,,,,,,,,,,,,,,
51,dugtrio,ground,---,sand-veil,arena-trap,sand-force,35,100,50,50,70,120,"['0', 'sand-tomb']","['1', 'scratch']","['1', 'sand-attack']","['1', 'growl']","['1', 'tri-attack']","['1', 'astonish']","['1', 'night-slash']","['12', 'mud-slap']","['16', 'bulldoze']","['20', 'sucker-punch']","['24', 'slash']","['30', 'sandstorm']","['36', 'dig']","['42', 'earth-power']","['48', 'earthquake']","['54', 'fissure']",,,,,,,,,,,,,,,,,,,
52,meowth,normal,---,pickup,technician,unnerve,40,45,35,40,40,90,"['1', 'growl']","['1', 'fake-out']","['4', 'feint']","['8', 'scratch']","['12', 'pay-day']","['16', 'bite']","['20', 'taunt']","['24', 'assurance']","['29', 'fury-swipes']","['32', 'screech']","['36', 'slash']","['40', 'nasty-plot']","['44', 'play-rough']",,,,,,,,,,,,,,,,,,,,,,
53,persian,normal,---,limber,technician,unnerve,65,70,60,65,65,115,"['0', 'power-gem']","['1', 'scratch']","['1', 'growl']","['1', 'fake-out']","['1', 'feint']","['1', 'switcheroo']","['12', 'pay-day']","['16', 'bite']","['20', 'taunt']","['24', 'assurance']","['31', 'fury-swipes']","['36', 'screech']","['42', 'slash']","['48', 'nasty-plot']","['54', 'play-rough']",,,,,,,,,,,,,,,,,,,,
54,psyduck,water,---,damp,cloud-nine,swift-swim,50,52,48,65,50,55,"['1', 'scratch']","['1', 'tail-whip']","['3', 'water-gun']","['6', 'confusion']","['9', 'fury-swipes']","['12', 'water-pulse']","['15', 'disable']","['18', 'zen-headbutt']","['21', 'screech']","['24', 'aqua-tail']","['27', 'soak']","['30', 'psych-up']","['34', 'amnesia']","['39', 'wonder-room']",,,,,,,,,,,,,,,,,,,,,
55,golduck,water,---,damp,cloud-nine,swift-swim,80,82,78,95,80,85,"['1', 'scratch']","['1', 'tail-whip']","['1', 'water-gun']","['1', 'confusion']","['1', 'aqua-jet']","['9', 'fury-swipes']","['12', 'water-pulse']","['15', 'disable']","['18', 'zen-headbutt']","['21', 'screech']","['24', 'aqua-tail']","['27', 'soak']","['30', 'psych-up']","['36', 'amnesia']","['40', 'hydro-pump']","['45', 'wonder-room']",,,,,,,,,,,,,,,,,,,
56,mankey,fighting,---,vital-spirit,anger-point,defiant,40,80,35,35,45,70,"['1', 'scratch']","['1', 'leer']","['1', 'focus-energy']","['1', 'covet']","['1', 'scratch']","['1', 'leer']","['1', 'low-kick']","['1', 'focus-energy']","['1', 'covet']","['5', 'fury-swipes']","['5', 'fury-swipes']","['8', 'low-kick']","['8', 'karate-chop']","['12', 'seismic-toss']","['12', 'pursuit']","['15', 'seismic-toss']","['17', 'swagger']","['19', 'swagger']","['22', 'cross-chop']","['22', 'cross-chop']","['26', 'assurance']","['26', 'assurance']","['29', 'thrash']","['29', 'punishment']","['33', 'close-combat']","['33', 'thrash']","['36', 'screech']","['36', 'close-combat']","['40', 'stomping-tantrum']","['40', 'screech']","['43', 'stomping-tantrum']","['44', 'outrage']","['47', 'outrage']","['48', 'final-gambit']","['50', 'final-gambit']"
57,primeape,fighting,---,vital-spirit,anger-point,defiant,65,105,60,60,70,95,"['0', 'rage']","['1', 'scratch']","['1', 'leer']","['1', 'focus-energy']","['1', 'fling']","['1', 'scratch']","['1', 'leer']","['1', 'low-kick']","['1', 'rage']","['1', 'focus-energy']","['1', 'fling']","['1', 'final-gambit']","['5', 'fury-swipes']","['5', 'fury-swipes']","['8', 'low-kick']","['8', 'karate-chop']","['12', 'pursuit']","['15', 'seismic-toss']","['15', 'seismic-toss']","['17', 'swagger']","['19', 'swagger']","['22', 'cross-chop']","['22', 'cross-chop']","['26', 'assurance']","['26', 'assurance']","['30', 'thrash']","['30', 'punishment']","['35', 'rage-fist']","['35', 'thrash']","['39', 'close-combat']","['39', 'close-combat']","['44', 'screech']","['44', 'screech']","['48', 'stomping-tantrum']","['48', 'stomping-tantrum']"
58,growlithe,fire,---,intimidate,flash-fire,justified,55,70,45,70,50,60,"['1', 'leer']","['1', 'ember']","['4', 'howl']","['8', 'bite']","['12', 'flame-wheel']","['16', 'helping-hand']","['20', 'agility']","['24', 'fire-fang']","['28', 'retaliate']","['32', 'crunch']","['36', 'take-down']","['40', 'flamethrower']","['44', 'roar']","['48', 'play-rough']","['52', 'reversal']","['56', 'flare-blitz']",,,,,,,,,,,,,,,,,,,
